"","GPA_pos","grade_treat","type","mean_outcome","sd_outcome","ci_lower","ci_upper"
"1","D1",FALSE,"Observed",0.857277708249939,0.103432044798817,0.654550900444257,1
"2","D1",FALSE,"Predicted",0.851787492508055,0.0743272738372281,0.706106035787088,0.997468949229022
"3","D1",TRUE,"Observed",0.835534258862893,0.218066270989239,0.408124367723985,1
"4","D1",TRUE,"Predicted",0.869306588709553,0.0971807765431195,0.678832266685038,1
"5","D2",FALSE,"Observed",0.904741297300729,0.0831322807337358,0.741802027062607,1
"6","D2",FALSE,"Predicted",0.897820520133264,0.0463099461864602,0.807053025607802,0.988588014658726
"7","D2",TRUE,"Observed",0.900112266206647,0.162547781339398,0.581518614781426,1
"8","D2",TRUE,"Predicted",0.905701677300957,0.0611707589176924,0.785806989822279,1
"9","D3D8",FALSE,"Observed",0.929284359215165,0.0359121866085169,0.858896473462472,0.999672244967858
"10","D3D8",FALSE,"Predicted",0.924415572923309,0.0283459802851725,0.868857451564371,0.979973694282248
"11","D3D8",TRUE,"Observed",0.941460389921964,0.0625719525330024,0.818819362957279,1
"12","D3D8",TRUE,"Predicted",0.928368968720995,0.0309603282944194,0.867686725263933,0.989051212178057
"13","D9",FALSE,"Observed",0.946978791963298,0.0629271825258362,0.823641514212659,1
"14","D9",FALSE,"Predicted",0.943786738032244,0.0285349421492319,0.88785825141975,0.999715224644738
"15","D9",TRUE,"Observed",0.971157535273228,0.0945550638276177,0.785829610171097,1
"16","D9",TRUE,"Predicted",0.947207085355944,0.047726979714697,0.853662205115138,1
"17","D10",FALSE,"Observed",0.954544416188078,0.0580087352775979,0.840847295043986,1
"18","D10",FALSE,"Predicted",0.950896515483433,0.0276151949383095,0.896770733404346,1
"19","D10",TRUE,"Observed",0.976367862045768,0.0803053536157668,0.818969368958865,1
"20","D10",TRUE,"Predicted",0.953648078488441,0.0409149282568646,0.873454819104987,1
